order_id,lng,lat,depot_lat,depot_lng,dlvr_seq_num
935442.0,126.56893,43.81414,43.8121,126.5669,1
2119726.0,126.57,43.81954,43.8121,126.5669,2
1163945.0,126.56808,43.82254,43.8121,126.5669,3
1898768.0,126.56574,43.82126,43.8121,126.5669,4
1967889.0,126.56403,43.82447,43.8121,126.5669,5
2349221.0,126.55716,43.81811,43.8121,126.5669,6
1720666.0,126.54845,43.82043,43.8121,126.5669,7
98750.0,126.55001,43.82377,43.8121,126.5669,8
2977295.0,126.53659,43.80667,43.8121,126.5669,9
512980.0,126.57915,43.82581,43.8121,126.5669,10
